"","mindex","n","predictors","rsquare","adjr","predrsq","cp","aic","sbic","sbc","msep","fpe","apc","hsp"
"8",1,1,"biden_margin",0.744040275132339,0.738707780864262,0.722857468539634,90.8384171375534,301.751983490687,156.514259649534,307.488052506971,1130.07767166008,23.5048154066009,0.277289701939966,0.480867745634225
"7",2,1,"college",0.531145884272359,0.5213780901947,0.498456307758094,204.653711625018,332.015561431003,185.637952007641,337.751630447288,2070.01928808793,43.0549354922972,0.507925292038278,0.880829285848962
"2",3,1,"log_median_income",0.435514385774293,0.423754268811258,0.391206577499314,255.779188063678,341.296723080599,194.673439797865,347.032792096883,2492.23813996369,51.8367886546096,0.611526082077849,1.06049076625633
"1",4,1,"median_age",0.199091681636267,0.182406091670355,0.128209057211094,382.172934682817,358.788302199626,211.801377934905,364.52437121591,3536.05868305115,73.5475168622091,0.867650678227378,1.50465460029069
"5",5,1,"asian",0.174191028056632,0.156986674474479,-0.393985797814875,395.485052529832,360.319152019361,213.305678648398,366.055221035646,3645.99657517319,75.8341471756135,0.894626386271982,1.55143508951746
"10",6,1,"log_density",0.170719856211214,0.153443186548948,0.110392704949033,397.340772843584,360.5288795139,213.511828007244,366.264948530184,3661.32200888754,76.1529053455299,0.898386822437851,1.55795632867287
"3",7,1,"black",0.103500266011039,0.0848231882196028,0.022074771016191,433.27698244993,364.425877938506,217.344848169854,370.16194695479,3958.10056661819,82.3256892090044,0.971208045154707,1.68424077759829
"9",8,1,"pres_swing",0.101682605713997,0.0829676599997057,0.00186346362525169,434.248720320291,364.527150702723,217.444520216654,370.263219719007,3966.1256468038,82.4926051946188,0.973177177143169,1.68765558908795
"6",9,1,"hispanic",0.0417215517463394,0.0217574174077215,-0.0276572582551868,466.304449865538,367.757897699125,220.625779277841,373.493966715409,4230.85732790359,87.998836715315,1.03813498560813,1.80030353345571
"4",10,1,"native",0.0143128004430082,-0.00622234954776246,-0.0439506673752703,480.957419765408,369.167931244445,222.015146467047,374.904000260729,4351.86862322356,90.5157859745913,1.06782779952007,1.85179594874369
"32",11,2,"black biden_margin",0.871999751596361,0.866552932515355,0.858684048206789,24.4301070952611,269.102588350893,125.447695692069,276.750680372606,577.414250709729,12.2352240928793,0.144340705646657,0.250927483447073
"17",12,2,"median_age biden_margin",0.774395170507149,0.764794964996815,0.74094231651118,76.6104115885837,297.440224458397,151.348233705902,305.08831648011,1017.71242792687,21.565002253561,0.254405446023853,0.442268298883532
"25",13,2,"log_median_income biden_margin",0.769576513474492,0.759771258728726,0.735626981287539,79.1865098455204,298.496921205893,152.33246277284,306.145013227605,1039.44958292961,22.0256056457933,0.259839250762807,0.451714635885835
"50",14,2,"college biden_margin",0.763991325365691,0.753948403040827,0.731895301643031,82.1724026480657,299.694406186092,153.44930388479,307.342498207804,1064.64459033887,22.559479829354,0.266137441608902,0.462663655236957
"53",15,2,"biden_margin pres_swing",0.755983475725588,0.745599793841571,0.722528668356591,86.4534725312035,301.362775394148,155.007901524993,309.010867415861,1100.76832101441,23.324930178636,0.275167569926464,0.478361980693929
"47",16,2,"hispanic biden_margin",0.752019034317089,0.741466652798668,0.718011018362711,88.5728992787281,302.168577719379,155.761748546936,309.816669741091,1118.65207510021,23.7038812325676,0.279638110238176,0.486133741439041
"54",17,2,"biden_margin log_density",0.75100835358824,0.740412964379229,0.720541984415096,89.1132184685485,302.371945490075,155.952112222952,310.020037511788,1123.21129637542,23.800489679489,0.280777814038793,0.488115046749159
"38",18,2,"native biden_margin",0.75079845330772,0.740194132171878,0.715657621577583,89.2254330841799,302.414077798554,155.99155587308,310.062169820267,1124.15816495351,23.8205535231249,0.281014510099805,0.488526528365974
"43",19,2,"asian biden_margin",0.745107396388692,0.734260902617998,0.550954928015637,92.2679243239331,303.543092829139,157.049214826792,311.191184850852,1149.83075080885,24.3645474418715,0.28743208492339,0.499683089455937
"16",20,2,"median_age college",0.673069300142393,0.659157355467601,0.642302578924608,130.78015146843,315.988389192165,168.791596314095,323.636481213877,1474.79749021269,31.2504891630035,0.368666533881983,0.640904207608768
"11",21,2,"median_age log_median_income",0.631526266855018,0.615846533529699,0.568802652898995,152.989438187566,321.969449553029,174.484953469636,329.617541574741,1662.19977838791,35.2214839704989,0.415512933120937,0.722343805793661
"42",22,2,"asian college",0.585594063949486,0.5679597687984,0.496281690984716,177.545215251648,327.84327888678,180.104431455442,335.491370908493,1869.40178662551,39.6120285408235,0.467308821503772,0.812387787957823
"31",23,2,"black college",0.583165575286524,0.565427940192333,0.5388355524639,178.843507570285,328.135432117894,180.384619602024,335.783524139607,1880.35679631626,39.844161707508,0.470047329996047,0.817148517381215
"24",24,2,"log_median_income college",0.555407875868833,0.536489062076017,0.488628541982766,193.683028333408,331.358842465755,183.480124947807,339.006934487468,2005.57289089875,42.497450876192,0.501348565509614,0.871563799757835
"52",25,2,"college log_density",0.548174481144707,0.528947863321078,0.500622448356756,197.550067513467,332.165782376115,184.25619824925,339.813874397827,2038.20302440871,43.1888730140838,0.509505372326181,0.885743909230595
"51",26,2,"college pres_swing",0.541279784695406,0.521759775533508,0.469702883237991,201.236035488523,332.923001697058,184.984862096588,340.571093718771,2069.30527642614,43.8479198297085,0.517280242790287,0.899260045728229
"46",27,2,"hispanic college",0.535304527169687,0.515530251730099,0.448861165642004,204.430462979924,333.570092817807,185.607861078684,341.21818483952,2096.25990260883,44.4190797747212,0.524018299149076,0.910973744354413
"37",28,2,"native college",0.531542854975919,0.511608508379149,0.483887774223078,206.44148744501,333.973209360361,185.99611217176,341.621301382073,2113.22895664012,44.7786486257876,0.52826018481439,0.918348002989901
"34",29,2,"black log_density",0.503945893944703,0.482837208580648,0.431962809495938,221.195075992078,336.835228400561,188.755684613595,344.483320422274,2237.71995391894,47.4165732135166,0.559380162147463,0.972448179112318
"27",30,2,"log_median_income log_density",0.493775969995344,0.47223452191004,0.431779014071756,226.632010636226,337.84994403977,189.735350781329,345.498036061482,2283.59688845797,48.3886908467227,0.570848374260569,0.992384964042714
"20",31,2,"log_median_income black",0.473941507668372,0.45155603990958,0.415433161777931,237.235696161363,339.771598557665,191.59239712746,347.419690579378,2373.07094296639,50.2846175684194,0.593214895608006,1.0312677926255
"22",32,2,"log_median_income asian",0.469470024347664,0.446894280702883,0.416240414043948,239.626192166854,340.194801171643,192.001676401666,347.842893193356,2393.24198344005,50.7120354925153,0.598257206586677,1.04003354168407
"23",33,2,"log_median_income hispanic",0.459729781668573,0.436739559611916,0.360863009363701,244.833415261939,341.1044490581,192.881763123589,348.752541079812,2437.18060854758,51.6430809661295,0.609240884501397,1.05912799356295
"26",34,2,"log_median_income pres_swing",0.444675237075366,0.42104439609985,0.349887068776113,252.881712914729,342.478633173874,194.212223560926,350.126725195586,2505.09226258321,53.0821072884323,0.626217285851183,1.08864042839279
